Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
164,"(Deepthi et al., 2020)",https://doi.org/10.4103/jcd.jcd_253_20, passion fruit ,fruit,India,,,0.287,Soxhlet  method,"3-(4,5-dimethylthiazol-2-yl",Passiflora edulis,thein vitroclonogenic capacity of PDL cells is temporarily associated with the ability of PDL progenitor cells to attach and recolonize the root surface after replantation. The critical period for rapid loss of cell viability begins 15 min after tooth storage notably,,"Passion fruit concentrate was prepared by crushing two fruits in a mixer, and then the solution was filtered.",,,,
165,"(Weber et al., 2021)",https://doi.org/10.14393/BJ-v37n0a2021-54096, passion fruit ,Fruit,Brazil,192.3,,,Soxhlet  method,methanol,Passiflora edulis,The variation observed for the correlation coefficients indicate that the overall antioxidant capacity of the fruit may be better explained from the added contributions from all the different components with antioxidant properties instead of their isolated impact. ,," The rind was oven dried at 60C for 24 hours until the humidity content reached 10%. Then, it was ground using an industrial blender so that t he powder had uniform particle size of 1 mm. Ground samples were stored in brown paper bags at room temperature (24C) until analysis.",,,,
166,"(Zas et al., n.d.)",https://wjpr.s3.ap-south-1.amazonaws.com/article_issue/1456747766.pdf,Passion fruits,fruit pulp,India,499.3,,,superficial method,hexane,Passiflora edulis,"When considering the health benefits of Passiflora edulis, with the presence of phytoconstituents like Alkaloids, phenols, glycosyl flavonoids , cynogenic compounds and its anit-oxidant properties can be utilized  in the treatment and prevention of Diabetes mellitus and cardiovascular disease",Vitamin C,,,,87.5,
167,"(de Souza Silva et al., 2020)",https://doi.org/10.1016/j.scienta.2020.109595,Passion fruits,fruit pulp,Brazil,53.54,121.48,41.24,superficial method,"
",Passiflora edulis,"The evaluated fruits of P. cincinnata Mast. cv. BRS Sert£o Forte have pulps with distinct characteristics, in relation both to their chemical constituents and antioxidant potential. Some compounds such as ascorbic acid, sugars, carotenoids and total flavonoids increased in mature pulps, while acidity and antioxidant activity were higher in the intermediate stage.",caffeic acid,"The extracts were prepared with ap-
proximately 0.5 g of pulp and 6 mL of nitric-perchloric solution (5:1, v/
v), allowed to stand for 4 h before subjected to organic digestion. ",82.41,,47.1,
168,"(Sozo et al., 2016)",https://doi.org/10.1007/978-1-4939-3332-7_2,Passion fruits,seeds,Brazil,,,,,,P. tenuifilaandP. setacea,,,,,,,
169,"(Bernreuther et al., 1991)",https://doi.org/10.1002/pca.2800020109,,,,,,,,,,,,,,,,
170,"(Silva et al., 2014)",https://doi.org/10.1016/j.foodchem.2013.08.001,Passion fruits,fruit pulp,Brazil,765.09,60.37,1362.07,superficial method,distilled water,Passiflora edulis,"Overall the fruit by-products showed higher (P < 0.05) levels of ²-carotene and lycopene, as well as anthocyanins and yellow flavonoids when compared to the fruit pulps studied. ",Vitamin C," Briefly, 1 g of each freeze-dried sample was suspended in 10 ml of extraction solution (1.5 N HCl in 85% ethanol). ",,,,
171,"(Matsui et al., 2013)",10.1021/bk-2013-1129.ch012,Passion fruits,seeds,,,,,superficial method,,Passiflora edulis,,Vitamin C,,,,,
172,"(Medina et al., 2017)",10.12691/jfnr-5-11-2,Passion fruits,shell,Colombia,,,,superficial method,,(Passiflora tripartita var. mollissima,"Passiflora tripartita var. mollisima shell namely phytoprostanes (seven) and to identify 14 phenolic compounds (including cinnamoyl acid derivatives, flavonoid-O-glycoside, flavonoid-C-glycosides",Vitamin C,,,,,
173,"(Jagessar, 2017)",https://www.phytojournal.com/archives/2017/vol6issue6/PartX/6-6-91-929.pdf,Passion fruits,,,,,,,,Passiflora edulis,,,: A few drops of concentrated hydrochloric acid were added to a small amount of an alcoholic extract of the plant material,,,,
174,"(Sebastian & Jose, 2018)",https://www.researchgate.net/publication/330334399_Antidiabetic_and_Antioxidant_Profile_of_Three_Varieties_of_Passion_Fruit enrichId=rgreq-3593fe8abe92f6854333d11a29a239baXXX&enrichSource=Y292ZXJQYWdlOzMzMDMzNDM5OTtBUzo4Mjc5NTQzNjM5MTIxOTJAMTU3NDQxMTExMTA5MQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf,Passion fruits,pulp,India,12.1,,,Soxhlet  method,distilled water,Passiflora edulis,T he presence of phenols and flavonoids contributed significantly to the hypoglycemic activity of passion fruit. T he presence of numerous antioxidant phytochemicals present in passion fruit enhance its therapeutic significance.,Vitamin C,Ethanolic extracts were used for the phytochemical screening and determination of total phenol content. Pulp of the passion fruit was taken and homogenized using ethanol for the preparation of ethanolic extracts.,,,149.623,
175,"(Fazilah et al., 2018)",https://doi.org/10.1016/j.jff.2018.07.039,,,,,,,,,,,,,,,,
176,"(Xia et al., 2021)",https://doi.org/10.1038/s41438-020-00455-1,Passion fruits,,China,,,,,,Passiflora edulis Sims,,Vitamin C,,,,,
177,"(Dias et al., 2019)",http://192.248.93.15/handle/123456789/422,Passion fruits,pulp,Sri Lanka,15.83,,,Soxhlet  method,,Passiflora edulis,Antibacterial activity of methanol extract was higher than that of water extract,Vitamin C,Water extracts and methanol extracts of dried samples,,,,
178,"(Patel et all., 2009)",https://www.researchgate.net/profile/Sita-Patel/publication/282815299_Passiflora_Incarnata_Linn_A_Review_on_Morphology_Phytochemistry_and_Pharmacological_Aspects/links/562b36c208ae22b17031f25d/Passiflora-Incarnata-Linn-A-Review-on-Morphology-Phytochemistry-and-Pharmacological-Aspects.pdf,Passion fruits,pulp,,,,,,,Passiflora edulis,,,,,,,
179,"(By et al., n.d.)",http://library.tkmcas.ml:8080/jspui/bitstream/123456789/97/1/Jubaira%20%282016%29%20-%20ANTIMICROBIAL%2C%20ANTIOXIDANT%20ACTIVITIES%20AND%20PHYTOCHEMICAL%20ANALYSIS%20OF%20PASSIFLORA%20EDULIS.pdf,Passion fruits,leaf,India,14.76,,743,superficial method,distilled water,Passiflora edulis,"The fruit extract showed bands at 1643 indicating the presence of the carbonyl group, that is a strong absorption band due to C=O stretching vibration observed in the region 1800-1550 cm",Vitamin C,The aqueous extract of each sample was prepared by soaking 10g of powdered samples in 200ml of distilled water for 72 hours. ,,,,
180,"(Mart­nez et al., 2012)",https://doi.org/10.1016/j.foodchem.2012.05.057,Passion fruits,"peel, pulp and seeds", Ecuado,245,246,,Soxhlet  method,,Passiflora edulis,The correlation between antioxidant activity and total phenolic compounds has been widely studied in different fruit and vegetables,Carbohydrates ,"The first procedure consisted of a dynamic
maceration in absolute ethanol for 24 h at room temperature with
a solvent: material ratio of 1:20. In the second procedure, original
samples (2.5 g) were extracted by shaking at room temperature for
60 min with 20 mL of methanolwaterHCl (50:50 v/v, pH 2) and
by shaking at room temperature for 60 min with 20 mL of ace-
tonewater (70:30 v/v).",4.6,38,1.5,
181,"(Zabot et al., 2021)",https://doi.org/10.3390/molecules26175117,Passion fruits,pulp,India,,,,,,Passiflora edulis,,,,,,,
182,"(Inti & Eissn, 2022)",http://eprints.intimal.edu.my/1618/1/Vol.2022_14.pdf,Passion fruits,pulp,India,,,,,,Passiflora edulis,,,,,,,
183,"(de Carvalho et al., 2018)",https://doi.org/10.1002/jsfa.9118,Passion fruits,pulp,Brazil,,,,,,Passiflora setaceaDC,"Passiflora setaceanectar is a potential functional beverage, due its bioactive contents.",Vitamin C,,,,,
184,"(Raphaela et al., 2022)",https://doi.org/10.5897/JMPR2021.7190,Passion fruits,Seeds,Brazil,,35,,Soxhlet  method,ethanol,Passiflora setacea D.C.,Compounds identification in leaf extracts from bothin vivoand micropropagated plants performed by HPLC-UV-ESI-MS/TOF analyses revealed similar chromatographic profiles.,Vitamin C,"Leaves fromin vivoand micropropagated plants were lyophilized for five days, then powdered and weighed. In order to determine the best flavonoid extraction procedure.",,,64.4,
185,"(Arturo-Perdomo et al., 2021)",https://doi.org/10.1007/s12161-021-02020-5,Passion fruits,Seed,Colombia,,120.48,,Supercritical Fluid Extraction,methanol,Passiflora edulis,"for octadecanamide, three different isomers were detected in passion fruit, including octadecanamide, 9-octadecenamide, and an octadecenamide isomer",,,,,,
186,"(Zas et al., n.d.)",https://wjpr.s3.ap-south-1.amazonaws.com/article_issue/1456747766.pdf,Passion fruits,leaf,India,,,,Soxhlet  method, hexane,Passiflora edulis,The phenolic compounds present in the extract of passiflora edulis might be the major contributors to the antioxidant activities.,Vitamin C,The petroleum ether and chloroform extracts of Passiflora edulis leaf on DPPH free radical scavenging assay,,58.88,,
187,"(Jusuf et al., 2020)",https://doi.org/10.2147%2FCCID.S229743,Passion fruits,Seed,Indonesia,14.76,,743,Soxhlet  method,,P. edulis Sims var. edulis,The passion fruit purple variant seed extract showed more than 50% colony inhibition at a concentration of 20%.,tannin,"e The extract was dissolved in DMSO into multiple concentrations, of 1.25%, 2.5%, 5%, 10%, 20%, and 40%",,123,,
188,"(Jim©nez-S¡nchez et al., 2015)",https://doi.org/10.1080/10408398.2014.914019,Passion fruits,pulp,Brazil,,121.48,,,hexane,Passiflora edulis,"Juice samples subjected to sonication showed significant rises in carotenoid content, registering great improvement in extractability of carotenoids (9%) when compared to the control",Vitamin C,,,,,
189,"(Casarotti et al., 2018)",https://doi.org/10.1016/j.lwt.2018.08.010,Passion fruits,"peel, pulp and seeds",Brazil,384.44,56.07,,Soxhlet  method,,Passiflora edulis,"The phytochemical contents of fruit by-products indicate that they have high levels of phenolic compounds, carotenoids and fibers, besides a high antioxidant activity, indicating their potential to be used as an added-value ingredient in health-enhancing food products.",,"The material was dried in an oven with air circulation  at 60C until constant weight, grounded to obtain a fine powder using a processor which was standardized to particle size<42¼m to facilitate the mixture of these by-products with goat milk and cereal extracts.",,,,
190,"(Samyor, Deka and Das, 2018)",doi:10.1007/s13197-018-3439-9,Passion fruits,pulp,India,129.49,,,Supercritical Fluid Extraction,distilled water,Passiflora edulis,Results revealed that the incorporation of passion fruit powders significantly affected the physical and phytochemical properties of extrudates.,vitamin C,"Passion fruit pulp was obtained by squeezing the fruit, and the pulp was made into powder using foam mat drying.",,,65.79,
191,"(Samyor et al., 2020)",https://doi.org/10.1007/s13197-020-04596-y,Passion fruits,pulp,India,258.12,,13.26,Soxhlet  method,distilled water,Passiflora edulis Sims,"n passion fruit pulp, coumaric acid, syringic acid, and sinapic acid were predominant whereas, in foam mat powder chromogenic acid, trans-ferulic acid, and vanillic acid were higher.",vitamin C,The passion fruit pulp and methylcellulose mixture was whipped in a modified kitchen blender,,,60.53,
192,"(dos Santos Soares et al., 2021)",https://doi.org/10.1007/s11627-021-10179-z,passion fruit,flower buds,Brazil,,,,Soxhlet  method,liquid nitrogen,Passiflora gibertiiN. E. Brown,"Flow cytometry revealed that all embryogenic calluses were diploid, thus ensuring genetic stability of the embryos in relation to the explants",,,,,,
193,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,pulp,Brazil,78.5,1.3,35.2,Soxhlet  method,water/tetrahydrofuran/trifluoracetic acid,Passiflora setacea,"the training system, as isolated factor, had no influence onPassiflora setaceacomposition, since there was no significant difference between trellis and espalier treatments in phytochemical content, with exception to vitamin C with higher means in espalier system.",vitamin C,"The pure pulps were vacuum packed  packed separately in polyethylene bags, frozen and stored at ˆ’80C, until chemical analysis. Pulp moisture was measured by drying at 105C and at 70C under vacuum, according to standard procedures.",,82.4,47.1,
194,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,passion fruit bagasse.,Brazil,55.237,,23.064,Supercritical Fluid Extraction,ethanol in water,Passiflora edulis sp,he total phenolic content obtained from DPFB was 1.5 times higher than the nonDPFB,,The employed extraction methods were supercritical fluid extraction (SFE) (40-60 C; 17-35 MPa) and pressurized liquid extraction,,,,
195,"(de Oliveira et al., 2021)",https://doi.org/10.3390/foods10091970,passion fruit,fruit pulp,Brazil,68.49,2.15,51.51,Soxhlet  method,,Passiflora edulisSims. f. flavicarpa Deg.,The antioxidant activity decreased (p< 0.05) in examined beverage formulations during storage when measured by the FRAP and ABTS method.,,"For the extract preparation, a 10 g-aliquot of each beverage was homogenized with a mini-Turrax apparatus, centrifuged  and filtered with a 0.45 m-filter",0.336,,,
196,"(Giambanelli et al., 2020)",https://doi.org/10.3390/antiox9070.628,passion fruit,pulp,Ecuador,63.5,,,Soxhlet  method,methanol/water,Passiflora edulis,"Briefly, the high phenolic content and the antioxidant and antihyperglycemic capacity found in this fruit confirmed its potential as a functional fruit.",vitamin C,"Briefly, 0.5 g of the previously freeze-dried sample was extracted using 10 mL of ethanol/water (80:20,v/v), using an ultrasonic bath",346.2,,61.9 1.2 ,
197,"(Mart­nez et al., 2012",http://dx.doi.org/10.1016/j.foodchem.2012.05.057,passion fruit, peel and pulp,Ecuador,246,,2.5,Soxhlet  method,methanol,"Passiflora edulis L., cv. Flovicarpa"," A significant correlation was ob-
served between TPC and the DPPH radical-scavenging activity of
dietary fibre samples extracted with methanol:acetone, while
there was also excellent correlation between TPC and the DPPH
radical-scavenging of samples extracted with ethanol.",,"Materials were then washed under mild conditions to minimise
losses of soluble fibre components (such as pectins and pentosans)
as well as bioactive compounds ",6.9,5.1,5.5,
